file,two_theta,intensity,code,layer,location
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,13.40001,0.08586956521739131,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,13.44001,0.06630434782608696,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,13.48001,0.09347826086956522,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,13.52001,0.06739130434782609,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,13.56001,0.08260869565217391,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,13.60001,0.07391304347826087,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,13.64001,0.07282608695652174,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,13.68001,0.08260869565217391,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,13.72001,0.07717391304347826,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,13.76001,0.09130434782608696,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,13.80001,0.07608695652173914,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,13.84001,0.0782608695652174,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,13.88001,0.09130434782608696,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,13.92001,0.08804347826086957,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,13.96001,0.05978260869565217,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,14.00001,0.06847826086956521,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,14.04001,0.08043478260869565,H1,L1,Halifax
raw_data/xrd/BT-H1L1A2020-10-29 11.01.35AM.ASC,14.08001,0.075,H1,L1,Halifax
